PaÃ­s;CÃ³digo ISO paÃ­s;Oficina de registro;Grupo edad;Edad (aÃ±os);Ãrea Conocimiento;Sub Area Conocimiento;Nivel AcadÃ©mico;Estado civil;GÃ©nero;Etnia de la persona;Estatura (CM);LocalizaciÃ³n;Cantidad de personas;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA ELECTRÃ“NICA, TELECOMUNICACIONES Y AFINES;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. BILBAO;ADULTO JOVEN;22;CIENCIAS SOCIALES Y HUMANAS;PERIODISMO, COMUNICACIÃ“N SOCIAL Y AFINES;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;22;CIENCIAS DE LA EDUCACIÃ“N;EDUCACIÃ“N;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;22;CIENCIAS SOCIALES Y HUMANAS;OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
FRANCIA;FRA;C. PARIS;ADULTO JOVEN;22;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;142;(46.227638, 2.213749);1;
ESTADOS UNIDOS;USA;C. ATLANTA;ADULTO JOVEN;22;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;MASCULINO;INDÃGENA;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. MIAMI;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. SAN FRANCISCO;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA CIVIL Y AFINES;PREGRADO - TECNOLÃ“GICO;SOLTERO;MASCULINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;22;BELLAS ARTES;DISEÃ‘O;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;168;(9.748917, -83.753428);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;22;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;161;(40.463667, -3.74922);1;
ECUADOR;ECU;C. QUITO;ADULTO JOVEN;22;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;INDÃGENA;-1;(-1.831239, -78.183406);1;
VENEZUELA;VEN;C. CARACAS;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - TÃ‰CNICO PROFESIONAL;DESCONOCIDO;FEMENINO;OTRO;-1;(6.42375, -66.58973);1;
CANADA;CAN;C. MONTREAL;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA MECÃNICA Y AFINES;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;-1;(56.130366, -106.346771);1;
ESTADOS UNIDOS;USA;C. ORLANDO;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA INDUSTRIAL Y AFINES;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(37.09024, -95.712891);1;
FRANCIA;FRA;C. PARIS;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA EN SISTEMAS, TELEMÃTICA Y AFINES;NO INDICA;DESCONOCIDO;MASCULINO;NINGUNA;-1;(46.227638, 2.213749);1;
ESTADOS UNIDOS;USA;C. MIAMI;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;CASADO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
CANADA;CAN;C. OTTAWA;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(56.130366, -106.346771);1;
ECUADOR;ECU;C. QUITO;ADULTO JOVEN;22;NINGUNA;NINGUNA;PRIMARIA;UNION_LIBRE;FEMENINO;NINGUNA;-1;(-1.831239, -78.183406);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;22;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;148;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA AMBIENTAL, SANITARIA Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
CANADA;CAN;C. MONTREAL;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;158;(56.130366, -106.346771);1;
REINO UNIDO;GBR;C. LONDRES;ADULTO JOVEN;22;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;152;(55.378051, -3.435973);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - TECNOLÃ“GICO;CASADO;FEMENINO;AFRODESCENDIENTE;-1;(40.463667, -3.74922);1;
PANAMA;PAN;C. COLON;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(8.537981, -80.782127);1;
ESTADOS UNIDOS;USA;C. CHICAGO;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
FEDERACION DE RUSIA;RUS;C. MOSCU;ADULTO JOVEN;22;CIENCIAS DE LA SALUD;MEDICINA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(61.52401, 105.318756);1;
VENEZUELA;VEN;C. PUERTO LA CRUZ;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;OTRO;150;(6.42375, -66.58973);1;
ECUADOR;ECU;C. QUITO;ADULTO JOVEN;22;CIENCIAS DE LA SALUD;SALUD OCUPACIONAL (HSEQ);PREGRADO - TECNOLÃ“GICO;SOLTERO;FEMENINO;NINGUNA;-1;(-1.831239, -78.183406);1;
VENEZUELA;VEN;C. PUERTO LA CRUZ;ADULTO JOVEN;22;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;154;(6.42375, -66.58973);1;
ESTADOS UNIDOS;USA;C. ORLANDO;ADULTO JOVEN;22;BELLAS ARTES;ARTES PLÃSTICAS, VISUALES Y AFINES;PREGRADO - TECNOLÃ“GICO;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
ECUADOR;ECU;C. TULCAN;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;-1;(-1.831239, -78.183406);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;22;BELLAS ARTES;ARTES DRAMÃTICAS Y REPRESENTATIVAS;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
CANADA;CAN;C. TORONTO;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;160;(56.130366, -106.346771);1;
BOLIVIA;BOL;C. LA PAZ;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;CONTADURÃA PÃšBLICA;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(-16.290154, -63.588653);1;
ITALIA;ITA;C. ROMA;ADULTO JOVEN;22;COCINA Y CULINARIA;COCINA Y CULINARIA;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(41.87194, 12.56738);1;
CANADA;CAN;C. OTTAWA;ADULTO JOVEN;22;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;157;(56.130366, -106.346771);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;22;CIENCIAS DE LA SALUD;MEDICINA;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;153;(9.748917, -83.753428);1;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;22;CIENCIAS SOCIALES Y HUMANAS;CIENCIA POLÃTICA Y/O RELACIONES INTERNACIONALES;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(37.09024, -95.712891);1;
PARAGUAY;PRY;C. ASUNCION;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;UNION_LIBRE;MASCULINO;OTRO;-1;(-23.442503, -58.443832);1;
REPUBLICA DOMINICANA;DOM;C. SANTO DOMINGO;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(18.735693, -70.162651);3;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;22;CIENCIAS SOCIALES Y HUMANAS;LENGUAS MODERNAS, FILOLOGÃA, LINGÃœÃSTICA Y AFINES;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(9.748917, -83.753428);1;
POLONIA;POL;C. VARSOVIA;ADULTO JOVEN;22;(NO REGISTRA);(NO REGISTRA);(NO REGISTRA);SOLTERO;FEMENINO;NINGUNA;-1;(51.919438, 19.145136);1;
VENEZUELA;VEN;C. BARINAS;ADULTO JOVEN;22;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;-1;(6.42375, -66.58973);2;
ESTADOS UNIDOS;USA;C. MIAMI;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;150;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. ORLANDO;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;167;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;0;(40.463667, -3.74922);1;
BOLIVIA;BOL;C. LA PAZ;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;SIN ETNIA REGISTRADA;168;(-16.290154, -63.588653);1;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA INDUSTRIAL Y AFINES;PREGRADO - TECNOLÃ“GICO;CASADO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
URUGUAY;URY;C. MONTEVIDEO;ADULTO JOVEN;22;NO INDICA;COCINA Y CULINARIA;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(-32.522779, -55.765835);1;
ESTADOS UNIDOS;USA;C. ORLANDO;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;158;(37.09024, -95.712891);1;
MEXICO;MEX;C. GUADALAJARA;ADULTO JOVEN;22;CIENCIAS DE LA SALUD;MEDICINA;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(23.634501, -102.552784);2;
CHILE;CHL;C. SANTIAGO;ADULTO JOVEN;22;NO INDICA;NO INDICA;POSTGRADO - ESPECIALIZACIÃ“N;SOLTERO;MASCULINO;NINGUNA;-1;(-35.675147, -71.542969);1;
FRANCIA;FRA;C. PARIS;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;NINGUNA;157;(46.227638, 2.213749);1;
REINO UNIDO;GBR;C. LONDRES;ADULTO JOVEN;22;CIENCIAS SOCIALES Y HUMANAS;PERIODISMO, COMUNICACIÃ“N SOCIAL Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(55.378051, -3.435973);1;
BRASIL;BRA;C. SAO PAULO;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA CIVIL Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;NINGUNA;-1;(-14.235004, -51.92528);1;
ESTADOS UNIDOS;USA;C. CHICAGO;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA CIVIL Y AFINES;PREGRADO - PROFESIONAL;CASADO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;22;BELLAS ARTES;PUBLICIDAD Y AFINES;POSTGRADO - MAESTRIA;UNION_LIBRE;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;22;NINGUNA;NINGUNA;NINGUNO;SOLTERO;MASCULINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA INDUSTRIAL Y AFINES;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
PANAMA;PAN;C. COLON;ADULTO JOVEN;22;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;-1;(8.537981, -80.782127);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;AFRODESCENDIENTE;-1;(40.463667, -3.74922);2;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;SIN ETNIA REGISTRADA;164;(9.748917, -83.753428);1;
REINO UNIDO;GBR;C. LONDRES;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;OTRO;164;(55.378051, -3.435973);1;
PAISES BAJOS;NLD;C. AMSTERDAM;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA MECÃNICA Y AFINES;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(52.132633, 5.291266);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;22;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;170;(37.09024, -95.712891);1;
ITALIA;ITA;C. MILAN;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;AFRODESCENDIENTE;130;(41.87194, 12.56738);1;
PERU;PER;C. IQUITOS;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(-9.189967, -75.015152);3;
ESTADOS UNIDOS;USA;C. ORLANDO;ADULTO JOVEN;22;CIENCIAS SOCIALES Y HUMANAS;DEPORTES, EDUCACIÃ“N FÃSICA Y RECREACIÃ“N;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
CANADA;CAN;C. TORONTO;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA AMBIENTAL, SANITARIA Y AFINES;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(56.130366, -106.346771);1;
CANADA;CAN;C. MONTREAL;ADULTO JOVEN;22;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;158;(56.130366, -106.346771);1;
FRANCIA;FRA;C. PARIS;ADULTO JOVEN;22;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;-1;(46.227638, 2.213749);1;
ECUADOR;ECU;C. TULCAN;ADULTO JOVEN;22;NO INDICA;NO INDICA;PRIMARIA;DIVORCIADO;MASCULINO;OTRO;152;(-1.831239, -78.183406);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;166;(40.463667, -3.74922);1;
CANADA;CAN;C. TORONTO;ADULTO JOVEN;22;CIENCIAS SOCIALES Y HUMANAS;OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(56.130366, -106.346771);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;22;CIENCIAS DE LA SALUD;SALUD OCUPACIONAL (HSEQ);PREGRADO - TÃ‰CNICO PROFESIONAL;UNION_LIBRE;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;OTRO;165;(40.463667, -3.74922);1;
CANADA;CAN;C. CALGARY;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA EN SISTEMAS, TELEMÃTICA Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(56.130366, -106.346771);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;22;CIENCIAS DE LA SALUD;MEDICINA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;22;AGRONOMÃA, VETERINARIA Y AFINES;MEDICINA VETERINARIA;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
AUSTRALIA;AUS;C. SYDNEY;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(-25.274398, 133.775136);1;
FEDERACION DE RUSIA;RUS;C. MOSCU;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(61.52401, 105.318756);1;
ESPAÃ‘A;ESP;C. SEVILLA;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;152;(40.463667, -3.74922);1;
ECUADOR;ECU;C. QUITO;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;153;(-1.831239, -78.183406);1;
MEXICO;MEX;C. MEXICO;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;OTRAS INGENIERÃAS;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(23.634501, -102.552784);1;
AUSTRALIA;AUS;C. CANBERRA;ADULTO JOVEN;22;CIENCIAS SOCIALES Y HUMANAS;PERIODISMO, COMUNICACIÃ“N SOCIAL Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(-25.274398, 133.775136);1;
CUBA;CUB;C. LA HABANA;ADULTO JOVEN;22;NINGUNA;NINGUNA;NINGUNO;SOLTERO;MASCULINO;OTRO;153;(21.521757, -77.781167);1;
REPUBLICA CHECA;CZE;C. VIENA;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;ARQUITECTURA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;-1;(49.817492, 15.472962);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;160;(9.748917, -83.753428);1;
ECUADOR;ECU;C. QUITO;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;OTRO;150;(-1.831239, -78.183406);1;
LIBANO;LBN;C. BEIRUT;ADULTO JOVEN;22;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;FEMENINO;OTRO;-1;(33.854721, 35.862285);2;
SUIZA;CHE;C. BERNA;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;NINGUNA;179;(46.818188, 8.227512);1;
CANADA;CAN;C. CALGARY;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA CIVIL Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(56.130366, -106.346771);3;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ECONOMÃA;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
EL SALVADOR;SLV;C. SAN SALVADOR;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;163;(13.794185, -88.89653);1;
CANADA;CAN;C. MONTREAL;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;170;(56.130366, -106.346771);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;22;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;AFRODESCENDIENTE;162;(40.463667, -3.74922);1;
VENEZUELA;VEN;C. SAN ANT DE TACHIRA;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;145;(6.42375, -66.58973);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;INDÃGENA;-1;(40.463667, -3.74922);1;
CANADA;CAN;C. MONTREAL;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA MECÃNICA Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(56.130366, -106.346771);1;
PANAMA;PAN;C. PANAMA;ADULTO JOVEN;22;CIENCIAS SOCIALES Y HUMANAS;PSICOLOGÃA Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(8.537981, -80.782127);1;
ESTADOS UNIDOS;USA;C. LOS ANGELES;ADULTO JOVEN;22;NINGUNA;NINGUNA;PRIMARIA;UNION_LIBRE;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. ORLANDO;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;152;(37.09024, -95.712891);1;
ARGENTINA;ARG;C. BUENOS AIRES;ADULTO JOVEN;22;NINGUNA;NINGUNA;BACHILLERATO;UNION_LIBRE;MASCULINO;NINGUNA;-1;(-38.416097, -63.616672);1;
ESTADOS UNIDOS;USA;C. SAN FRANCISCO;ADULTO JOVEN;22;AGRONOMÃA, VETERINARIA Y ZOOTECNIA;AGRONOMÃA;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
GUATEMALA;GTM;C. GUATEMALA;ADULTO JOVEN;22;COCINA Y CULINARIA;COCINA Y CULINARIA;PREGRADO - PROFESIONAL;CASADO;FEMENINO;OTRO;-1;(15.783471, -90.230759);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;22;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;MASCULINO;AFRODESCENDIENTE;-1;(9.748917, -83.753428);2;
ESTADOS UNIDOS;USA;C. SAN FRANCISCO;ADULTO JOVEN;22;CIENCIAS DE LA SALUD;ENFERMERÃA;PREGRADO - TECNOLÃ“GICO;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;22;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;160;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. BILBAO;ADULTO JOVEN;22;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;CONTADURÃA PÃšBLICA;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(40.463667, -3.74922);1;
PERU;PER;C. LIMA;ADULTO JOVEN;22;COCINA Y CULINARIA;COCINA Y CULINARIA;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(-9.189967, -75.015152);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA INDUSTRIAL Y AFINES;PREGRADO - TECNOLÃ“GICO;SOLTERO;MASCULINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. PALMA DE MALLORCA;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;AFRODESCENDIENTE;-1;(40.463667, -3.74922);1;
VENEZUELA;VEN;C. VALENCIA VEN;ADULTO JOVEN;22;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;170;(6.42375, -66.58973);1;
ITALIA;ITA;C. ROMA;ADULTO JOVEN;22;CIENCIAS DE LA SALUD;OTRO PROGRAMA DE SALUD;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(41.87194, 12.56738);1;
AUSTRIA;AUT;C. VIENA;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(47.516231, 14.550072);1;
MEXICO;MEX;C. MEXICO;ADULTO JOVEN;22;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA INDUSTRIAL Y AFINES;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(23.634501, -102.552784);1;
EL SALVADOR;SLV;C. SAN SALVADOR;ADULTO JOVEN;22;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(13.794185, -88.89653);1;
