PaÃ­s;CÃ³digo ISO paÃ­s;Oficina de registro;Grupo edad;Edad (aÃ±os);Ãrea Conocimiento;Sub Area Conocimiento;Nivel AcadÃ©mico;Estado civil;GÃ©nero;Etnia de la persona;Estatura (CM);LocalizaciÃ³n;Cantidad de personas;
ESTADOS UNIDOS;USA;C. SAN FRANCISCO;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;CASADO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
VENEZUELA;VEN;C. BARQUISIMETO;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;CASADO;FEMENINO;NINGUNA;-1;(6.42375, -66.58973);1;
REPUBLICA DOMINICANA;DOM;C. SANTO DOMINGO;ADULTO JOVEN;18;CIENCIAS SOCIALES Y HUMANAS;DERECHO Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(18.735693, -70.162651);1;
CANADA;CAN;C. CALGARY;ADULTO JOVEN;18;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA EN SISTEMAS, TELEMÃTICA Y AFINES;PREGRADO - TECNOLÃ“GICO;SOLTERO;MASCULINO;NINGUNA;-1;(56.130366, -106.346771);1;
VENEZUELA;VEN;C. PUERTO LA CRUZ;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;FEMENINO;OTRO;149;(6.42375, -66.58973);1;
VENEZUELA;VEN;C. BARINAS;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;UNION_LIBRE;MASCULINO;OTRO;-1;(6.42375, -66.58973);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;140;(37.09024, -95.712891);1;
ARUBA;ABW;C. ARUBA;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;-1;(12.52111, -69.968338);2;
ARGENTINA;ARG;C. BUENOS AIRES;ADULTO JOVEN;18;CIENCIAS DE LA EDUCACIÃ“N;EDUCACIÃ“N;PREGRADO - TÃ‰CNICO PROFESIONAL;DESCONOCIDO;FEMENINO;OTRO;-1;(-38.416097, -63.616672);1;
CHILE;CHL;C. SANTIAGO;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;130;(-35.675147, -71.542969);1;
